id,students,teachers,level,geoid
10075000312,484,29,PEM,010279589004
10075002205,290,15,M,010279589004
10075002210,524,26,H,010279589004
10078000317,361,22,PE,010299596002
10078000318,570,31,MH,010299596002
10078000319,234,14,PEM,010299595002
10078000320,203,14,PEM,010299597002
10078000321,528,26,EMH,010299598002
10078001671,236,12,EM,010299596002
10078001726,375,23,PE,010299598002
10081000323,528,29,PEMH,010310106001
10081000327,868,49,PEMH,010310101002
10081001494,381,19,H,010310103002
10081001748,708,39,PE,010310103001
10081002545,361,18,M,010310103002
10084000331,228,19,PEM,010330210002
10084000333,221,20,MH,010330210003
10084000334,455,28,MH,010330208023
10084000335,484,31,MH,010330209012
10084000336,242,17,PEM,010330208012
10084000338,355,24,PEM,010330208023
10084000341,163,11,PEM,010330209024
10084001658,473,30,PEM,010330209012
10087000344,100,8,PEM,010359604003
10087000345,358,21,PE,010359605001
10087000347,98,7,PEM,010359602002
10087000348,182,8,M,010359606003
10087000350,110,8,PEM,010359603001
10087001766,299,17,H,010359606003
10087002442,340,22,EMH,010359606003
10090001749,362,17,MH,010379611003
10090002074,443,25,EM,010379611003
10093000280,608,37,PE,010399616003
10093000359,196,14,PEM,010399624001
10093000360,218,14,MH,010399630003
10093000361,498,32,PEMH,010399629002
10093000363,383,24,H,010399616003
10093000364,331,17,PEM,010399630001
10093001672,318,16,M,010399616003
10093002167,488,34,PEMH,010399617002
10096000365,556,37,PEMH,010419639001
10096000367,839,54,PEMH,010419634002
10096000368,845,50,PEMH,010419636002
10099000326,523,28,PE,010439649004
10099000369,528,28,M,010439649003
10099000370,997,61,H,010439649003
10099000371,594,32,EM,010439649005
10099000372,584,37,EM,010439648003
10102000373,380,22,PEM,010439641001
10102000374,238,14,H,010439657002
10102000375,519,30,PEM,010439657002
10102000377,501,26,H,010439642001
10102000379,443,23,H,010439647001
10102000380,366,20,H,010439654022
10102000381,278,17,H,010439653001
10102000385,362,20,H,010439643001
10102000386,211,12,PE,010439652002
10102000387,606,26,H,010439644001
10102000396,614,32,PE,010439642001
10102000400,305,14,M,010439642001
10102000403,344,17,E,010439647001
10102000413,386,18,M,010439647001
10102000414,624,31,PE,010439654022
10102000420,304,17,M,010439654022
10102000440,578,30,PEM,010439653001
10102000446,483,27,PE,010439643001
10102000453,237,15,M,010439643001
10102000458,518,30,PE,010439644001
10102000459,381,19,M,010439646001
10102001444,425,22,PE,010439647001
10102001497,153,12,PEMH,010439649002
10102001676,321,20,PEM,010439645003
10102001679,269,11,E,010439646001
10105000281,464,28,PEM,010450201003
10105000388,863,45,PEMH,010450201001
10105000389,417,26,H,010450214002
10105000390,368,22,MH,010450201003
10105000391,453,24,PE,010450214002
10105000392,279,19,PEM,010450213001
10105000393,426,23,EM,010450213003
10108000394,294,14,H,010450211022
10108001767,499,27,PE,010450211022
10108002497,361,9,EM,010450211022
10111000395,217,8,PEM,010479561003
10111000397,381,19,H,010479561005
10111000401,80,5,PEM,010479561005
10111000402,217,14,MH,010479569003
10111000404,176,9,PE,010479569001
10111000406,296,21,H,010479573001
10111000407,151,10,PE,010479573001
10111000408,185,10,M,010479572002
10111000409,352,18,PEM,010479561002
10111000814,229,11,M,010479561002
10111001785,204,7,E,010479573003
10114000411,920,57,PEMH,010499608002
10114000412,578,36,PE,010499607001
10114000415,937,57,PEMH,010499605001
10114000416,1150,69,PEMH,010499606003
10114000418,224,17,PEM,010499602001
10114000419,601,41,PEMH,010499601002
10114000422,1264,75,PEMH,010499604004
10114000423,165,12,PEM,010499609002
10114000424,945,53,PEMH,010499603001
10114000425,486,35,PEMH,010499614001
10114001860,657,37,H,010499607001
10114002357,790,45,EM,010499607001
10117000081,714,47,M,011030051071
10117000426,1025,67,H,011030010001
10117000427,416,25,PE,011030009001
10117000429,1040,61,H,011030001005
10117000430,252,16,PE,011030002001
10117000431,303,16,E,011030004003
10117000432,453,24,PE,011030004001
10117000433,815,54,M,011030001003
10117000434,503,30,PE,011030001005
10117000435,346,19,PE,011030007002
10117000436,244,16,E,011030003001
10117000437,268,18,PE,011030006001
10117000438,354,21,PE,011030010002
10117001615,390,24,PE,011030051092
10117001728,364,21,PE,011030051061
10117001786,447,26,PE,011030051082
10117002175,38,3,H,011030001005
10117002456,773,46,MH,011030010001
10120000148,630,37,H,010919734004
10120000439,436,31,M,010919729002
10120000441,443,24,E,010919729003
10120000442,555,32,PE,010919734002
10123000443,438,19,EM,010690415003
10123000447,321,15,EM,010690404002
10123000448,353,20,E,010690404002
10123000450,338,19,EM,010690405002
10123000454,413,26,EM,010690407002
10123000456,413,25,EM,010690414001
10123001447,442,25,E,010690409001
10123001448,565,28,EM,010690402013
10123001449,290,15,EM,010690415004
10123001499,388,23,EM,010690409001
10123001501,1454,79,H,010690415004
10123001817,533,27,EM,010690402021
10123002480,1133,60,M,010690411001
10123002482,168,12,P,010690402011
10123002512,229,19,MH,010690409001
10123002513,543,30,H,010690409001
10126000460,433,23,PEM,010310105002
10126000461,252,21,MH,010310105002
10129000102,738,38,EM,010510308002
10129000463,516,27,H,010510305002
10129000465,554,29,H,010510301003
10129000468,1181,60,H,010510311001
10129000470,871,50,PE,010510308002
10129000471,1240,60,H,010510308003
10129000833,930,57,PE,010510312002
10129001432,457,25,EM,010510305002
10129001451,614,32,EM,010510301003
10129001660,1185,62,EM,010510311001
10129001768,665,34,PE,010510305002
10129001769,779,41,PE,010510301003
10129002142,734,37,PEM,010510307012
10129002147,536,29,E,010510311002
10129002494,419,9,EMH,010510308002
10129002520,552,31,EM,010510307012
10132000474,597,32,M,010310113002
10132000475,500,29,M,010310112011
10132000476,2117,118,H,010310111001
10132000478,760,42,EM,010310111001
10132000479,708,32,EM,010310112011
10132000480,362,20,EM,010310113001
10132000481,483,26,EM,010310112021
10132001719,450,23,EM,010310112024
10132001867,674,30,PEM,010310113002
10135000484,399,21,H,010539707001
10135000485,516,30,EM,010539705001
10135000487,511,27,MH,010539703002
10135000488,271,16,EM,010539704001
10135000489,177,12,EM,010539699003
10135000492,358,19,H,010539698004
10135001504,486,25,PEM,010539703002
10135001505,542,28,PE,010539698005
10135001506,416,23,EM,010539698005
10135001661,532,23,PE,010539705004
10138000493,354,20,PE,010550110022
10138000494,211,12,PEM,010550109001
10138000496,368,18,MH,010550107002
10138000497,390,22,PE,010550105021
10138000498,285,18,H,010550105021
10138000499,592,35,PE,010550106012
10138000500,305,15,M,010550106012
10138000501,240,14,PEM,010550103001
10138000502,739,46,PE,010550104021
10138000503,225,15,PEM,010550108002
10138000505,584,29,H,010550110012
10138000506,770,42,H,010550105013
10138000507,370,19,MH,010550111003
10138000508,390,22,PEM,010550111003
10138000509,348,23,PE,010550110013
10138001507,304,16,EM,010550105021
10138001508,625,32,M,010550104021
10138001509,570,33,PE,010550105011
10138001662,355,22,H,010550106013
10138002351,398,19,M,010550110012
10138002453,272,16,PEM,010550107002
10141000511,717,48,H,010059501003
10141000513,538,30,M,010059501003
10141000514,661,38,PE,010059507001
10141001510,472,27,E,010059508002
10141002439,3901,251,EMH,010059507002
10144000515,332,11,M,010730106023
10144000516,510,26,H,010730106021
10144000518,324,15,E,010730134003
10144000519,245,16,PE,010730106026
10147000521,219,14,MH,010570204003
10147000523,341,23,EM,010570203001
10147000525,419,29,PEMH,010570201001
10147001512,331,22,PEM,010570204002
10147001514,466,28,PE,010570203001
10147001787,387,22,H,010570203001
10153000528,1034,59,H,010770109003
10153000531,356,17,H,010770109003
10153000532,831,54,PE,010770111023
10153000534,402,32,PE,010770110002
10153000535,424,28,PE,010770108002
10153000536,689,39,M,010770106003
10153001664,582,35,EM,010770104001
10153002474,171,11,PEM,010770101002
10156000538,1058,62,H,010499613001
10156000539,141,7,P,010499613002
10156001365,808,50,PE,010499613001
10156001750,787,49,M,010499613001
10156002518,721,43,E,010499613001
10159000541,546,36,PEMH,010599731002
10159000542,237,13,PEMH,010599737001
10159000544,448,25,MH,010599737003
10159000545,351,21,MH,010599735002
10159000547,549,34,PEM,010599729002
10159000548,270,21,PEMH,010599736002
10159001861,424,26,PEM,010599737003
10159001869,391,24,MH,010599729002
10159002475,421,28,PEM,010599735002
10162000551,260,14,PE,010550016001
10162000552,255,16,M,010550112001
10162000553,464,23,M,010550012002
10162000555,335,21,PE,010550011002
10162000559,376,20,M,010550007002
10162000563,255,15,PE,010550004004
10162000564,464,20,PE,010550012002
10162000565,205,12,PE,010550006002
10162001517,367,16,PE,010550007001
10162001665,423,25,PE,010550112001
10162001666,217,11,PE,010550002002
10162001824,1318,84,H,010550009003
10164000567,387,22,H,010610503004
10164000568,572,39,PE,010610503002
10164001788,293,19,M,010610503004
10166000570,241,13,H,010610504005
10166000571,189,11,H,010610501004
10166001519,370,20,H,010610505003
10166001771,379,20,PE,010610501004
10166001772,169,7,M,010610501004
10166001791,437,27,PE,010610504005
10166001792,179,10,M,010610504005
10166001793,549,29,PE,010610505003
10166001794,271,16,M,010610505003
10168000576,255,19,H,010630601005
10168001452,321,20,PE,010630601005
