# ExaEpi hospital-capacity data -- utilities/build_hospital_data.py
# source: HHS COVID-19 Hospital Capacity by Facility (anag-cw7u): staffed inpatient beds (beds) + staffed adult ICU beds (icu_beds)
# state=US year=2021 level=county week=2021-12-26
# columns: FIPS beds icu_beds n_hospitals
2448
21209 27 7 1
21211 23 4 1
21213 18 0 1
21217 36 8 1
21221 22 0 1
21225 25 0 1
21227 357 79 3
21231 14 0 1
21239 14 0 1
22001 89 8 2
22003 32 0 2
22005 35 0 2
22007 5 0 1
22009 41 0 2
22011 34 6 1
22013 16 0 1
22015 35 8 1
22017 1287 173 9
22019 490 64 7
22021 72 0 2
22027 50 8 1
22029 94 4 2
22031 30 0 1
22033 1546 209 10
22035 19 0 1
22039 62 10 2
22041 31 0 1
22045 106 18 1
22049 42 0 1
22051 1455 257 8
22053 30 5 1
22055 905 89 7
22057 145 28 3
22059 47 0 2
22061 95 10 2
22063 62 0 1
22065 25 0 1
22067 8 0 1
22069 114 19 2
22071 645 66 7
22073 634 83 7
22077 23 0 1
22079 548 57 5
22081 39 0 1
22083 53 0 2
22085 15 0 1
22087 59 13 1
22089 21 6 1
22091 22 0 1
22093 15 0 1
22097 167 25 3
22099 31 0 1
22101 49 4 2
22103 753 112 8
22105 325 41 6
22109 223 15 4
22111 53 0 2
22113 67 5 2
22115 62 8 1
22117 59 7 2
22119 71 8 2
22123 31 0 1
22125 13 0 1
22127 26 0 1
23001 301 49 2
23003 159 24 4
23005 993 112 4
23007 37 5 1
23009 114 14 3
23011 234 20 2
23013 85 8 1
23015 31 4 1
23017 56 4 2
23019 484 72 4
23021 50 0 2
23025 55 4 2
23027 36 4 1
23029 35 0 2
23031 235 16 2
24001 165 28 1
24003 589 69 2
24005 892 103 4
24009 63 9 1
24013 179 13 1
24015 104 10 1
24017 108 9 1
24021 300 15 1
24023 36 4 1
24025 241 31 2
24027 355 31 1
24029 10 0 1
24031 1783 209 6
24033 785 157 4
24037 104 12 1
24041 78 9 1
24043 270 24 2
24045 339 68 2
24047 56 8 1
24510 3496 445 15
25001 386 34 2
25003 298 20 2
25005 1096 79 5
25007 25 0 1
25009 1004 68 6
25011 97 4 1
25013 1360 110 7
25015 115 11 1
25017 2539 176 13
25019 25 0 1
25021 743 39 5
25023 632 47 3
25025 5181 470 16
25027 1769 181 10
26003 11 0 1
26005 42 0 2
26007 55 6 1
26011 10 4 1
26013 15 0 1
26015 38 6 1
26017 318 32 2
26019 4 0 1
26021 256 25 2
26023 38 6 1
26025 208 29 3
26027 25 0 1
26029 25 0 1
26033 44 6 1
26035 21 0 1
26037 20 0 1
26039 47 6 1
26041 32 7 1
26043 49 11 1
26045 44 0 2
26047 118 13 1
26049 870 172 4
26051 17 0 1
26053 32 5 1
26055 438 90 1
26057 81 18 1
26059 55 4 1
26061 67 5 2
26063 73 0 3
26065 666 71 3
26067 20 0 1
26069 26 4 1
26071 23 0 1
26073 49 8 1
26075 322 86 1
26077 484 84 2
26079 8 0 1
26081 1612 190 4
26087 114 11 1
26091 47 10 1
26093 105 6 2
26095 33 0 1
26097 11 0 1
26099 1295 156 5
26101 39 0 1
26103 197 24 2
26105 44 6 1
26107 35 4 1
26111 267 32 1
26115 78 17 1
26117 76 7 4
26121 354 40 1
26123 27 5 1
26125 3697 397 13
26127 10 0 1
26129 42 10 1
26131 10 0 1
26137 41 5 1
26139 166 14 3
26145 658 69 4
26147 291 32 3
26149 33 0 2
26151 55 0 3
26153 12 0 1
26155 66 7 1
26157 38 0 2
26159 24 0 2
26161 1611 184 5
26163 4050 538 17
26165 49 18 1
27001 25 4 1
27003 417 29 1
27005 25 6 1
27007 102 10 1
27011 31 0 2
27013 136 10 1
27015 51 0 2
27017 34 0 2
27019 100 8 1
27023 25 0 1
27025 41 8 1
27029 8 0 1
27031 16 0 1
27033 26 0 2
27035 93 10 2
27037 209 12 2
27041 45 7 1
27043 12 0 1
27047 64 9 1
27049 48 0 3
27051 6 0 1
27053 2786 277 9
27057 25 4 1
27059 33 0 1
27061 62 0 3
27063 20 0 1
27065 19 0 1
27067 33 5 1
27069 15 0 1
27071 16 0 1
27073 21 0 2
27075 16 0 1
27077 8 0 1
27079 5 0 1
27081 22 0 2
27083 50 4 2
27085 51 10 2
27087 10 0 1
27089 12 0 1
27091 25 0 1
27093 16 0 1
27095 20 0 1
27097 56 6 1
27101 8 0 1
27103 25 0 1
27105 36 0 1
27107 5 0 1
27109 1348 165 2
27111 58 0 2
27113 25 4 1
27117 8 0 1
27119 32 4 2
27121 22 0 1
27123 945 110 6
27127 10 0 1
27129 14 0 1
27131 24 0 1
27133 25 0 1
27135 14 0 1
27137 756 79 8
27139 109 0 2
27141 29 4 1
27143 6 0 1
27145 401 45 4
27147 27 0 1
27149 20 0 1
27151 17 0 2
27153 37 0 2
27155 15 0 1
27157 12 0 1
27159 25 0 1
27161 11 0 1
27163 132 21 2
27165 35 0 2
27167 25 0 1
27169 38 8 1
27171 54 0 2
27173 31 0 2
28001 51 0 1
28003 150 24 1
28007 45 0 1
28011 43 7 1
28013 30 0 1
28017 31 0 1
28019 15 0 1
28021 32 0 1
28023 25 0 1
28025 50 6 1
28027 33 9 1
28029 25 0 1
28031 24 0 1
28033 483 34 2
28035 603 68 2
28037 25 0 1
28039 30 6 1
28041 7 0 1
28043 52 6 1
28045 31 6 1
28047 404 56 4
28049 1748 198 7
28051 7 0 1
28059 223 40 1
28061 16 0 1
28063 12 0 1
28065 15 0 1
28067 136 13 1
28069 14 0 1
28071 247 14 1
28075 436 48 6
28077 25 0 1
28079 40 0 1
28081 277 38 1
28083 208 16 1
28085 67 6 1
28087 298 16 1
28089 25 7 1
28091 28 0 1
28093 40 0 1
28095 90 9 2
28097 27 0 1
28099 50 0 2
28103 25 0 1
28105 61 6 1
28107 65 0 1
28109 67 6 2
28111 22 0 1
28113 122 12 2
28115 25 0 1
28117 160 5 1
28121 224 16 4
28123 39 0 2
28125 29 0 1
28127 55 0 2
28129 29 0 1
28133 67 0 2
28135 17 0 1
28137 15 0 1
28139 25 0 1
28141 22 0 1
28145 114 8 1
28147 25 0 1
28149 115 37 2
28151 159 26 2
28153 57 6 1
28155 38 0 1
28157 16 0 1
28159 14 0 1
28161 26 0 1
28163 30 0 1
29001 25 10 1
29005 18 0 1
29007 20 0 1
29009 40 0 2
29011 15 0 1
29013 11 0 1
29019 907 143 3
29021 280 24 2
29023 160 16 1
29027 7 0 1
29029 85 18 1
29031 323 43 3
29033 12 0 1
29037 68 10 2
29039 25 0 1
