131 15920
ANC SHV 490
ANC SJC 3330
ANC SLC 16750
ANC SMF 10390
ANC SNA-LGB 3220
ANC SRQ 340
ANC STL 3750
ANC TLH 430
ANC TPA 5250
ANC TUL 1800
ANC TUS 4790
ANC TYS 1190
ANC VPS 700
ANC XNA 910
ANC XWA 170
ATL ABQ 13260
ATL AEX 3560
ATL ALB 14870
ATL AMA 3260
ATL ANC 9010
ATL ATW 4990
ATL AUS 89180
ATL BDL 42870
ATL BGR 2250
ATL BHM 2330
ATL BIL 3920
ATL BIS 2430
ATL BNA 36550
ATL BOI 11590
ATL BOS 170980
ATL BTV 4160
ATL BWI 176320
ATL BZN 12750
ATL CAE 4130
ATL CAK 5000
ATL CHS 17660
ATL CLE 89570
ATL CLT 32270
ATL CMH 64690
ATL COS 6970
ATL CRP 3000
ATL CRW 4950
ATL CVG 34920
ATL DAY 12140
ATL DCA-IAD 209980
ATL DEN 254300
ATL DFW-DAL 346230
ATL DIK 90
ATL DSM 14530
ATL DTW 188260
ATL ECP 9410
ATL ELP 15230
ATL EWR 251030
ATL FAI 3170
ATL FAR 3250
ATL FAT 7560
ATL FCA 5250
ATL FLL-MIA 563570
ATL FSD 5710
ATL FWA 6410
ATL GEG 10060
ATL GFK 900
ATL GRR 26750
ATL GSO 17030
ATL GTF 1700
ATL HNL 16560
ATL HOU-IAH 250760
ATL HRL 3270
ATL ICT 12750
ATL IDA 1860
ATL ILM 7500
ATL IND 65380
ATL JAN 8990
ATL JAX 55170
ATL JFK-LGA 387270
ATL JNU 470
ATL KOA-ITO 2060
ATL LAS 251370
ATL LAX-BUR 328610
ATL LBB 3620
ATL LEX 6920
ATL LIH 1190
ATL LIT 20030
ATL MAF 4200
ATL MCI 71750
ATL MCO 274250
ATL MDT 11670
ATL MEM 41590
ATL MFE 3590
ATL MFR 3200
ATL MKE-MS 47360
ATL MOB 4340
ATL MOT 1930
ATL MSO 3580
ATL MSP 102900
ATL MSY 107120
ATL MYR 6160
ATL OAK 24970
ATL OGG 3410
ATL OKC 28800
ATL OMA 24990
ATL ONT 23730
ATL ORD-MDW 367270
ATL ORF 39680
ATL PBI 52020
ATL PDX 40170
ATL PHL 236400
ATL PHX 119120
ATL PIT 61130
ATL PNS 10450
ATL PSP 5470
ATL PVD 12890
ATL PWM 13170
ATL RAP 3320
ATL RDU 87670
ATL RIC 60890
ATL RNO 13630
ATL ROA 6700
ATL ROC 15360
ATL RSW 57960
ATL SAN 66250
ATL SAT 54210
ATL SAV 9440
ATL SBA 1880
ATL SDF 20760
ATL SEA 86170
ATL SFO 107910
ATL SGF 9200
ATL SHV 7660
ATL SJC 21110
ATL SLC 89030
ATL SMF 42550
ATL SNA-LGB 30840
ATL SRQ 20680
ATL STL 81740
ATL TLH 5000
ATL TPA 188040
ATL TUL 18720
ATL TUS 14910
ATL TYS 3300
ATL VPS 7780
ATL XNA 11760
ATL XWA 480
ATW ABQ 300
ATW AEX 80
ATW ALB 280
ATW AMA 70
ATW ANC 330
ATW ATL 4700
ATW AUS 1790
ATW BDL 640
ATW BGR 80
ATW BHM 420
ATW BIL 150
ATW BIS 140
ATW BNA 4050
ATW BOI 590
ATW BOS 1360
ATW BTV 200
ATW BWI 740
ATW BZN 440
ATW CAE 340
ATW CAK 100
ATW CHS 590
ATW CLE 950
ATW CLT 2220
ATW CMH 950
ATW COS 290
ATW CRP 90
ATW CRW 90
ATW CVG 660
ATW DAY 390
ATW DCA-IAD 2280
ATW DEN 2890
ATW DFW-DAL 3490
ATW DSM 180
ATW DTW 3150
ATW ECP 300
ATW ELP 320
ATW EWR 1340
ATW FAI 50
ATW FAR 200
ATW FAT 370
ATW FCA 250
ATW FLL-MIA 3320
ATW FSD 260
ATW FWA 120
ATW GEG 490
ATW GFK 60
ATW GRR 370
ATW GSO 310
ATW GTF 70
ATW HNL 370
ATW HOU-IAH 2480
ATW HRL 150
ATW ICT 320
ATW IDA 40
ATW ILM 230
ATW IND 550
ATW JAN 120
ATW JAX 1190
ATW JFK-LGA 1590
ATW JNU 10
ATW KOA-ITO 160
ATW LAS 9670
ATW LAX-BUR 2620
ATW LBB 40
ATW LEX 260
ATW LIH 140
ATW LIT 470
ATW MAF 80
ATW MCI 1020
ATW MCO 3500
ATW MDT 770
ATW MEM 730
ATW MFE 100
ATW MFR 140
ATW MKE-MS 10
ATW MOB 110
ATW MOT 150
ATW MSO 200
ATW MSP 2230
ATW MSY 900
ATW MYR 310
ATW OAK 20
ATW OGG 330
ATW OKC 610
ATW OMA 690
ATW ONT 260
ATW ORD-MDW 850
ATW ORF 820
ATW PBI 890
ATW PDX 1640
ATW PHL 1620
ATW PHX 3370
ATW PIT 630
ATW PNS 840
ATW PSP 470
ATW PVD 290
ATW PWM 510
ATW RAP 240
ATW RDU 1390
ATW RIC 490
ATW RNO 330
ATW ROA 230
ATW ROC 320
ATW RSW 3160
ATW SAN 2180
ATW SAT 1120
ATW SAV 780
ATW SBA 120
ATW SDF 470
ATW SEA 1620
ATW SFO 1790
ATW SGF 150
ATW SHV 160
ATW SJC 290
ATW SLC 1770
ATW SMF 970
ATW SNA-LGB 1100
ATW SRQ 710
ATW STL 750
ATW TLH 190
ATW TPA 2320
ATW TUL 570
ATW TUS 830
ATW TYS 730
ATW VPS 340
ATW XNA 250
ATW XWA 10
AUS ABQ 19190
AUS AEX 350
AUS ALB 5020
AUS AMA 6520
AUS ANC 5070
AUS ATL 88290
AUS ATW 1750
AUS BDL 8100
AUS BGR 850
AUS BHM 7860
AUS BIL 1820
AUS BIS 900
AUS BNA 45190
AUS BOI 7960
AUS BOS 54840
AUS BTV 2150
AUS BWI 48190
AUS BZN 4570
AUS CAE 3810
AUS CAK 1460
AUS CHS 9560
AUS CLE 13450
AUS CLT 29120
AUS CMH 13060
AUS COS 3470
AUS CRP 490
AUS CRW 1260
AUS CVG 20310
AUS DAY 3260
AUS DCA-IAD 60590
AUS DEN 192180
AUS DFW-DAL 53430
AUS DIK 160
AUS DSM 7490
AUS DTW 46910
AUS ECP 7280
AUS ELP 22970
AUS EWR 69050
AUS FAI 1130
AUS FAR 1760
AUS FAT 4740
AUS FCA 3170
AUS FLL-MIA 94610
AUS FSD 1880
AUS FWA 1920
AUS GEG 8000
AUS GFK 280
AUS GRR 9470
AUS GSO 4860
AUS GTF 540
AUS HNL 8840
AUS HOU-IAH 12130
AUS HRL 5700
AUS ICT 3030
AUS IDA 820
AUS ILM 3240
AUS IND 23100
AUS JAN 2990
AUS JAX 11750
AUS JFK-LGA 75600
AUS JNU 340
AUS KOA-ITO 2290
AUS LAS 117940
AUS LAX-BUR 174770
AUS LBB 9700
AUS LEX 2340
AUS LIH 1330
AUS LIT 5490
AUS MAF 4310
AUS MCI 21800
AUS MCO 102380
AUS MDT 2630
AUS MEM 10980
AUS MFE 620
AUS MFR 2890
AUS MKE-MS 11050
AUS MOB 1590
AUS MOT 610
AUS MSO 2090
AUS MSP 39150
AUS MSY 47540
AUS MYR 2200
AUS OAK 20790
AUS OGG 3690
AUS OKC 6220
AUS OMA 7380
AUS ONT 15660
AUS ORD-MDW 138370
AUS ORF 8940
AUS PBI 5780
AUS PDX 39720
AUS PHL 27940
AUS PHX 82280
AUS PIT 16140
AUS PNS 6380
AUS PSP 5340
AUS PVD 5100
AUS PWM 4800
AUS RAP 1680
AUS RDU 31040
AUS RIC 10790
AUS RNO 13750
AUS ROA 1870
AUS ROC 3760
AUS RSW 9890
AUS SAN 63360
AUS SAV 5090
AUS SBA 3780
AUS SDF 6520
AUS SEA 61040
AUS SFO 79960
AUS SGF 1980
AUS SHV 740
AUS SJC 44680
AUS SLC 51130
AUS SMF 26840
AUS SNA-LGB 34600
AUS SRQ 2480
AUS STL 30880
AUS TLH 2250
AUS TPA 31540
AUS TUL 7060
AUS TUS 7180
AUS TYS 6410
AUS VPS 5500
AUS XNA 4240
AUS XWA 360
BDL ABQ 2500
BDL AEX 280
BDL AMA 290
BDL ANC 770
BDL ATL 40730
BDL ATW 690
BDL AUS 8040
BDL BHM 3300
BDL BIL 480
BDL BIS 300
BDL BNA 10560
BDL BOI 1500
BDL BWI 14810
BDL BZN 1940
BDL CAE 2720
BDL CAK 470
BDL CHS 6600
BDL CLE 5210
BDL CLT 22630
BDL CMH 4460
BDL COS 970
BDL CRP 370
BDL CRW 560
BDL CVG 5610
BDL DAY 1650
BDL DCA-IAD 21050
BDL DEN 31000
BDL DFW-DAL 20860
BDL DIK 10
BDL DSM 1780
BDL DTW 14820
BDL ECP 1520
BDL ELP 1840
BDL FAI 210
BDL FAR 620
BDL FAT 620
BDL FCA 400
BDL FLL-MIA 102250
BDL FSD 520
BDL FWA 780
BDL GEG 1610
BDL GFK 150
BDL GRR 2880
BDL GSO 2670
BDL GTF 160
BDL HNL 1700
BDL HOU-IAH 14580
BDL HRL 160
BDL ICT 1110
BDL IDA 110
BDL ILM 2580
BDL IND 6440
BDL JAN 820
BDL JAX 9360
BDL JNU 20
BDL KOA-ITO 330
BDL LAS 13640
BDL LAX-BUR 28250
BDL LBB 270
BDL LEX 1360
BDL LIH 140
BDL LIT 1890
BDL MAF 340
BDL MCI 5680
BDL MCO 141150
BDL MDT 290
BDL MEM 3410
BDL MFE 440
BDL MFR 380
BDL MKE-MS 3480
BDL MOB 840
BDL MOT 250
BDL MSO 610
BDL MSP 12750
BDL MSY 7490
BDL MYR 16730
BDL OAK 2130
BDL OGG 540
BDL OKC 3350
BDL OMA 2760
BDL ONT 2170
BDL ORD-MDW 33200
BDL ORF 3740
BDL PBI 31830
BDL PDX 5320
BDL PHL 3220
BDL PHX 17640
BDL PIT 5070
BDL PNS 2630
BDL PSP 1400
BDL RAP 550
BDL RDU 11590
BDL RIC 2250
BDL RNO 1810
BDL ROA 840
BDL ROC 120
BDL RSW 58050
BDL SAN 12480
BDL SAT 7130
BDL SAV 4020
BDL SBA 590
BDL SDF 3280
BDL SEA 9850
BDL SFO 12580
BDL SGF 1020
BDL SHV 550
BDL SJC 2230
BDL SLC 8260
BDL SMF 4730
BDL SNA-LGB 4240
BDL SRQ 3500
BDL STL 9580
BDL TLH 1270
BDL TPA 73030
BDL TUL 1850
BDL TUS 3740
BDL TYS 2130
BDL VPS 1810
BDL XNA 950
BDL XWA 60
BGR ABQ 150
BGR AEX 30
BGR ALB 70
BGR AMA 50
BGR ANC 250
BGR ATL 2340
BGR ATW 60
BGR AUS 830
BGR BDL 40
BGR BHM 470
BGR BIL 50
BGR BIS 30
BGR BNA 1780
BGR BOI 230
BGR BWI 240
BGR BZN 60
BGR CAE 280
BGR CAK 140
BGR CHS 1100
BGR CLE 490
BGR CLT 3550
BGR CMH 900
BGR COS 140
BGR CRP 180
