fipstate,naics,emp,est,n<5,e<5,n5_9,e5_9,n10_19,e10_19,n20_49,e20_49,n50_99,e50_99,n100_249,e100_249,n250_499,e250_499,n500_999,e500_999,n1000,e1000
01,312130,11,5,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,31214,11,6,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,312140,11,6,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,313,1760,23,6,10,0,0,0,0,5,173,0,0,6,1088,0,0,0,0,0,0
01,3131,715,5,0,0,0,0,0,0,0,0,0,0,4,714,0,0,0,0,0,0
01,31311,715,5,0,0,0,0,0,0,0,0,0,0,4,714,0,0,0,0,0,0
01,313110,715,5,0,0,0,0,0,0,0,0,0,0,4,714,0,0,0,0,0,0
01,3132,930,11,3,7,0,0,0,0,3,97,0,0,0,0,0,0,0,0,0,0
01,31321,489,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,313210,489,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,3133,115,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,31331,103,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,313310,103,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,314,4734,76,30,52,12,80,9,137,8,264,5,366,9,1485,0,0,0,0,0,0
01,3141,3414,24,6,12,4,28,3,48,0,0,0,0,6,901,0,0,0,0,0,0
01,31411,2599,6,0,0,0,0,0,0,0,0,0,0,4,538,0,0,0,0,0,0
01,314110,2599,6,0,0,0,0,0,0,0,0,0,0,4,538,0,0,0,0,0,0
01,31412,815,18,6,12,4,28,3,48,0,0,0,0,0,0,0,0,0,0,0,0
01,314120,815,18,6,12,4,28,3,48,0,0,0,0,0,0,0,0,0,0,0,0
01,3149,1320,52,24,40,8,52,6,89,7,246,4,309,3,584,0,0,0,0,0,0
01,31491,329,19,7,15,4,30,0,0,6,217,0,0,0,0,0,0,0,0,0,0
01,314910,329,19,7,15,4,30,0,0,6,217,0,0,0,0,0,0,0,0,0,0
01,31499,991,33,17,25,4,22,5,68,0,0,3,263,3,584,0,0,0,0,0,0
01,314994,277,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,314999,714,28,16,24,3,17,4,47,0,0,3,263,0,0,0,0,0,0,0,0
01,315,2300,39,8,16,7,47,5,64,9,309,6,393,0,0,0,0,0,0,0,0
01,3151,1293,16,0,0,3,20,0,0,5,165,5,327,0,0,0,0,0,0,0,0
01,31511,1244,15,0,0,3,20,0,0,5,165,4,278,0,0,0,0,0,0,0,0
01,315110,1244,15,0,0,3,20,0,0,5,165,4,278,0,0,0,0,0,0,0,0
01,3152,988,21,7,13,4,27,0,0,4,144,0,0,0,0,0,0,0,0,0,0
01,31521,437,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,315210,437,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,31522,451,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,315220,451,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,31524,61,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,315240,61,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,31528,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,315280,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,316,72,10,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,3169,72,10,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,31699,72,10,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,316998,72,9,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,321,16056,333,82,170,44,300,51,726,60,1837,39,2697,52,8388,4,1389,0,0,0,0
01,3211,5997,101,22,47,8,48,12,156,18,537,17,1193,22,3121,0,0,0,0,0,0
01,32111,5997,101,22,47,8,48,12,156,18,537,17,1193,22,3121,0,0,0,0,0,0
01,321113,4959,81,18,38,8,48,10,130,12,361,14,1039,17,2448,0,0,0,0,0,0
01,321114,1038,20,4,9,0,0,0,0,6,176,3,154,5,673,0,0,0,0,0,0
01,3212,2683,46,5,12,5,35,14,206,7,212,6,423,7,1106,0,0,0,0,0,0
01,32121,2683,46,5,12,5,35,14,206,7,212,6,423,7,1106,0,0,0,0,0,0
01,321211,316,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,321212,683,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,321213,433,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,321214,356,19,0,0,0,0,10,136,3,65,0,0,0,0,0,0,0,0,0,0
01,321219,895,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,3219,7376,186,55,111,31,217,25,364,35,1088,16,1081,23,4161,0,0,0,0,0,0
01,32191,2196,70,18,49,10,75,11,159,17,527,9,596,5,790,0,0,0,0,0,0
01,321911,757,22,6,18,5,39,3,42,3,79,3,204,0,0,0,0,0,0,0,0
01,321912,669,27,6,13,0,0,6,87,10,338,0,0,0,0,0,0,0,0,0,0
01,321918,770,21,6,18,3,20,0,0,4,110,4,273,0,0,0,0,0,0,0,0
01,32192,1389,57,21,41,12,79,10,151,4,143,4,251,6,724,0,0,0,0,0,0
01,321920,1389,57,21,41,12,79,10,151,4,143,4,251,6,724,0,0,0,0,0,0
01,32199,3791,59,16,21,9,63,4,54,14,418,3,234,12,2647,0,0,0,0,0,0
01,321991,2038,15,0,0,0,0,0,0,3,110,0,0,7,1417,0,0,0,0,0,0
01,321992,1098,15,5,4,0,0,0,0,0,0,0,0,4,1012,0,0,0,0,0,0
01,321999,655,29,9,12,7,48,0,0,9,262,0,0,0,0,0,0,0,0,0,0
01,322,11367,63,4,4,3,24,5,69,10,334,15,1068,11,1522,9,3743,6,4603,0,0
01,3221,7967,19,0,0,0,0,0,0,0,0,0,0,0,0,7,3066,6,4603,0,0
01,32211,725,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,322110,725,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,32212,3587,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2586,0,0
01,322121,3587,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2586,0,0
01,32213,3655,10,0,0,0,0,0,0,0,0,0,0,0,0,3,1411,3,2017,0,0
01,322130,3655,10,0,0,0,0,0,0,0,0,0,0,0,0,3,1411,3,2017,0,0
01,3222,3400,44,3,1,0,0,5,69,10,334,13,923,10,1387,0,0,0,0,0,0
01,32221,2753,31,0,0,0,0,0,0,8,262,10,694,8,1086,0,0,0,0,0,0
01,322211,1245,16,0,0,0,0,0,0,5,171,6,399,3,419,0,0,0,0,0,0
01,322212,1399,12,0,0,0,0,0,0,0,0,3,231,5,667,0,0,0,0,0,0
01,322219,109,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,32222,325,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,322220,325,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,32223,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,322230,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,32229,259,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,322299,259,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,323,3109,336,196,387,60,395,45,615,27,854,5,322,0,0,0,0,0,0,0,0
01,3231,3109,336,196,387,60,395,45,615,27,854,5,322,0,0,0,0,0,0,0,0
